Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass;
6.690.901.472;3.445.513.168;6.624.759.628;6.557.379.381;6.591.069.504;0.005111480518;5.006.909.015;600;450;0
6.525.360.892;3.613.586.801;6.624.237.527;6.556.810.408;6.590.523.968;0.005115459687;5.255.253.609;600;475;1
6.500.589.623;3.800.640.774;6.588.412.123;6.557.858.464;6.573.135.294;0.002324131285;5.505.005.896;600;500;0
6.485.824.614;4.033.503.437;6.574.672.679;6.556.796.595;6.565.734.637;0.001361316383;5.754.858.246;600;525;1
6.246.839.428;4.301.528.837;6.608.635.414;6.555.768.915;6.582.202.165;0.004015867129;6.002.468.394;600;550;1
;;;;;;;;;
9.062.581.498;6.868.128.127;6.620.328.858;6.551.196.878;6.585.762.868;0.005248593109;1.030.625.815;700;50;1
8.918.735.049;8.835.603.834;658.973.543;6.554.650.405;6.572.192.917;0.002669202256;127.918.735;700;75;1
8.890.923.508;1.231.048.966;6.579.861.871;656.123.598;6.570.548.926;0.001417377075;1.528.909.235;700;100;
8.493.004.216;1.568.413.934;664.434.821;655.758.424;6.600.966.225;0.006572065928;1.774.930.042;700;125;0
8.223.395.677;1.771.442.043;6.650.517.174;6.557.633.956;6.604.075.565;0.007032264939;2.022.233.957;700;150;0
7.961.779.132;1.970.341.784;6.648.004.622;6.556.197.294;6.602.100.958;0.006952887333;2.269.617.791;700;175;1
7.734.957.706;2.165.056.565;6.628.607.586;6.557.443.974;659.302.578;0.005396885665;2.517.349.577;700;200;0
7.608.465.185;2.371.259.404;6.597.656.297;6.554.473.709;6.576.065.003;0.003283315191;2.766.084.652;700;225;1
7.591.038.365;2.651.811.017;6.603.534.946;6.554.683.065;6.579.109.006;0.003712651736;3.015.910.384;700;250;1
7.251.001.249;3.019.395.863;6.616.908.781;6.556.581.861;6.586.745.321;0.004579418002;3.262.510.012;700;275;1
6.836.134.145;3.320.201.938;664.419.369;6.556.852.486;6.600.523.088;0.006616233496;3.508.361.341;700;300;1
6.498.641.113;3.566.491.656;6.666.868.256;6.557.663.869;6.612.266.062;0.008257712728;3.754.986.411;700;325;0
6.342.761.463;3.749.335.981;6.663.912.616;6.556.531.538;6.610.222.077;0.008122350279;4.003.427.615;700;350;1
6.315.040.419;4.010.327.477;6.596.980.725;655.704.597;6.577.013.347;0.003035933864;4.253.150.404;700;375;0
6.143.010.567;4.366.663.813;661.869.368;6.556.602.878;6.587.648.279;0.004712668259;4.501.430.106;700;400;1
5.724.192.323;4.665.672.884;6.643.925.357;6.557.655.998;6.600.790.678;0.006534774612;4.747.241.923;700;425;0
5.455.251.739;4.872.838.305;6.652.984.315;6.557.857.678;6.605.420.996;0.007200649085;4.994.552.517;700;450;0
5.222.065.303;5.042.486.454;670.809.112;6.556.811.465;6.632.451.292;0.01140450555;5.242.220.653;700;475;1
4.944.078.215;5.239.194.039;6.673.657.527;6.557.647.406;6.615.652.466;0.008767851772;5.489.440.782;700;500;0
4.807.599.171;5.438.157.945;6.618.395.141;6.557.070.927;6.587.733.034;0.004654424684;5.738.075.992;700;525;0
4.727.501.933;5.727.037.705;6.611.036.174;6.556.888.094;6.583.962.134;0.004112119613;5.987.275.019;700;550;1
8.976.566.288;767.943.369;6.634.053.551;6.551.176.587;6.592.615.069;0.006285591074;1.029.765.663;750;50;1
8.870.137.452;1.078.481.618;656.802.459;6.552.170.994;6.560.097.792;0.001208335317;1.278.701.375;750;75;1
8.544.328.225;152.848.475;6.668.366.453;6.555.737.001;6.612.051.727;0.008516982064;1.525.443.282;750;100;1
8.229.400.337;1.761.629.075;6.666.202.272;6.555.497.007;6.610.849.639;0.008372998281;1.772.294.003;750;125;1
7.944.622.563;1.978.206.581;6.657.656.415;6.555.110.787;6.606.383.601;0.007761101606;2.019.446.226;750;150;1
7.692.660.124;219.163.924;664.987.971;6.557.956.123;6.603.917.917;0.006959776611;2.266.926.601;750;175;0
7.556.131.984;2.431.006.113;6.604.590.277;6.557.094.129;6.580.842.203;0.003608667882;251.556.132;750;200;0
7.466.601.755;2.797.521.982;6.618.409.484;6.555.127.509;6.586.768.496;0.004803719369;2.764.666.018;750;225;1
7.028.578.702;3.179.494.744;6.648.186.964;6.556.618.599;6.602.402.782;0.006934472792;3.010.285.787;750;250;1
6.593.637.917;3.485.018.411;6.701.176.674;655.736.014;6.629.268.407;0.0108470894;3.255.936.379;750;275;0
629.782.991;370.532.742;6.703.337.187;6.557.776.949;6.630.557.068;0.01097647124;3.502.978.299;750;300;0
623.511.379;3.920.189.241;6.658.247.887;6.556.458.747;6.607.353.317;0.007702716586;3.752.351.138;750;325;1
619.304.756;4.301.111.835;6.602.972.894;6.557.691.276;6.580.332.085;0.003440678825;4.001.930.476;750;350;0
5.699.192.285;4.673.306.403;6.648.665.429;6.557.208.789;6.602.937.109;0.006925451401;4.246.991.923;750;375;0
5.382.862.178;4.910.333.338;6.665.970.071;6.556.882.539;6.611.426.305;0.008249924239;4.493.828.622;750;400;1
512.234.447;5.099.851.473;6.743.025.471;6.556.761.929;66.498.937;0.01400500145;4.741.223.445;750;425;1
4.830.252.078;530.521.246;6.710.331.737;6.557.646.688;6.633.989.213;0.01150778544;4.988.302.521;750;450;0
4.661.611.755;5.532.037.925;6.628.996.562;6.556.910.657;659.295.361;0.005466890037;5.236.616.118;750;475;1
4.512.436.596;585.823.587;6.624.001.706;65.565.436;6.590.272.653;0.005118005668;5.485.124.366;750;500;1
4.097.709.109;6.169.770.675;6.672.148.754;6.557.820.033;6.614.984.393;0.008641647066;5.730.977.091;750;525;0
3.807.634.554;6.364.209.836;675.635.536;6.556.858.725;6.656.607.042;0.01498485897;5.978.076.346;750;550;1
8.898.704.524;8.726.204.575;6.630.211.821;6.556.370.387;6.593.291.104;0.005599740135;1.028.987.045;800;50;1
8.751.673.221;1.378.532.366;6.621.191.915;6.556.093.211;6.588.642.563;0.004940221258;1.277.516.732;800;75;1
8.310.837.479;1.696.659.105;6.701.682.678;6.557.146.316;6.629.414.497;0.01090114079;1.523.108.375;800;100;0
8.000.813.971;1.932.068.534;6.667.334.889;6.557.913.366;6.612.624.127;0.008273683833;177.000.814;800;125;0
7.708.195.058;2.159.730.987;6.691.672.346;6.556.404.486;6.624.038.416;0.01021037703;2.017.081.951;800;150;1
7.514.516.397;2.418.259.638;6.618.840.871;6.556.244.864;6.587.542.867;0.004751089127;2.265.145.164;800;175;1
7.425.776.683;2.820.787.839;6.627.146.194;6.554.928.837;6.591.037.515;0.005478451325;2.514.257.767;800;200;1
6.941.569.959;3.234.077.786;6.671.072.684;6.556.433.605;6.613.753.144;0.008666718897;27.594.157;800;225;1
6.494.367.163;354.816.959;6.749.813.829;6.557.986.932;6.653.900.381;0.01441462046;3.004.943.672;800;250;0
6.197.247.424;3.768.885.698;675.730.355;6.557.955.376;6.657.629.463;0.014971408;3.251.972.474;800;275;0
6.140.341.972;4.027.309.291;6.660.326.611;6.556.841.164;6.608.583.887;0.007829623492;350.140.342;800;300;1
5.945.539.973;4.487.606.134;6.625.540.568;6.555.902.678;6.590.721.623;0.005283024655;37.494.554;800;325;1
5.456.672.195;4.831.034.863;6.680.387.116;6.557.389.364;661.888.824;0.009291420853;3.994.566.722;800;350;0
5.144.710.042;5.059.298.584;6.692.281.115;6.556.582.714;6.624.431.914;0.01024226698;42.414.471;800;375;1
4.873.457.552;5.251.319.638;6.799.829.895;6.556.912.902;6.678.371.398;0.0181868436;4.488.734.576;800;400;1
4.550.188.234;5.481.238.884;6.738.482.702;6.557.771.169;6.648.126.935;0.01359116143;4.735.501.882;800;425;0
4.473.034.278;5.777.963.056;6.623.158.361;6.556.582.483;6.589.870.422;0.005051379917;4.984.730.343;800;450;1
4.020.957.541;6.154.310.648;6.684.037.819;6.557.754.322;6.620.896.071;0.009536737569;5.230.209.575;800;475;0
3.695.681.341;6.373.012.444;6.757.247.806;6.556.876.454;665.706.213;0.01504953298;5.476.956.813;800;500;1
3.415.846.491;6.557.122.969;6.803.371.455;6.556.938.431;6.680.154.943;0.01844515783;5.724.158.465;800;525;1
3.115.727.992;6.780.997.428;6.734.436.986;6.557.613.995;664.602.549;0.01330291248;597.115.728;800;550;0
88.335.733;1.010.149.729;6.598.018.756;6.556.189.629;6.577.104.192;0.003179904504;1.028.335.733;850;50;1
8.475.973.599;157.213.236;6.715.519.216;6.554.682.194;6.635.100.705;0.01212016431;1.274.759.736;850;75;1
8.122.278.923;1.834.047.796;6.719.995.049;6.557.232.678;6.638.613.864;0.01225876177;1.521.222.789;850;100;0
7.797.112.225;2.077.761.347;6.735.416.864;6.556.750.637;664.608.375;0.0134414667;1.767.971.122;850;125;1
7.519.281.086;2.340.261.307;6.677.926.966;6.557.282.068;6.617.604.517;0.009115450823;2.015.192.811;850;150;0
7.441.146.811;2.704.901.791;6.612.526.413;655.373.093;6.583.128.671;0.004465618526;2.264.411.468;850;175;1
6.962.895.982;3.209.391.511;6.660.869.467;6.556.397.858;6.608.633.662;0.007904176075;250.962.896;850;200;1
6.488.591.148;354.328.687;6.782.818.612;6.557.739.041;6.670.278.827;0.01687182627;2.754.885.911;850;225;0
6.154.329.266;3.785.715.474;6.816.576.492;6.557.930.275;6.687.253.383;0.01933874807;3.001.543.293;850;250;0
6.050.800.826;404.469.369;6.699.998.522;6.556.732.143;6.628.365.333;0.01080706716;3.250.508.008;850;275;1
5.830.333.254;4.547.980.942;6.631.394.636;6.556.329.907;6.593.862.271;0.005692015246;3.498.303.333;850;300;1
5.322.765.349;4.898.709.291;6.706.304.766;6.557.953.655;663.212.921;0.0111842748;3.743.227.653;850;325;0
4.983.505.833;5.141.925.153;6.738.354.201;6.557.783.435;6.648.068.818;0.01358069316;3.989.835.058;850;350;0
471.058.306;5.338.185.345;6.849.175.221;6.556.833.943;6.703.004.582;0.02180673413;4.237.105.831;850;375;1
4.377.419.307;559.760.255;6.754.788.178;6.557.820.944;6.656.304.561;0.01479553949;4.483.774.193;850;400;0
4.205.813.553;5.960.298.616;6.671.941.443;6.556.562.607;6.614.252.025;0.008721986631;4.732.058.136;850;425;1
3.702.093.755;6.298.494.351;6.745.593.865;6.557.904.278;6.651.749.071;0.01410828828;4.977.020.938;850;450;0
3.408.079.649;6.496.311.794;6.806.970.911;6.556.876.922;6.681.923.917;0.01871422006;5.224.080.796;850;475;1
3.125.690.504;6.689.441.953;6.858.168.111;6.556.951.035;6.707.559.573;0.02245355202;5.471.256.905;850;500;1
2.852.197.632;6.978.585.748;6.703.071.495;6.557.739.608;6.630.405.551;0.01095950207;5.718.521.976;850;525;0
2.561.202.356;7.404.086.197;668.127.898;6.557.764.217;6.619.521.599;0.009329583866;5.965.612.024;850;550;0
;;;;;;;;;
8.622.737.487;1.464.825.659;6.685.303.276;6.555.738.618;6.620.520.947;0.009785080317;1.026.227.375;950;50;1
8.165.537.476;1.797.721.096;6.806.607.701;6.557.199.759;668.190.373;0.01866294041;1.271.655.375;950;75;0
7.788.115.323;2.080.218.586;676.121.145;6.556.606.955;6.658.909.203;0.01536321407;1.517.881.153;950;100;1
7.452.466.213;2.380.959.512;6.724.378.829;6.556.973.654;6.640.676.241;0.01260452765;1.764.524.662;950;125;1
7.328.365.186;2.851.044.065;6.643.938.943;6.556.259.563;6.600.099.253;0.006642277395;2.013.283.652;950;150;1
6.729.752.618;3.358.268.444;6.737.377.141;6.556.385.236;6.646.881.188;0.01361479918;2.257.297.526;950;175;1
626.594.515;3.683.063.068;6.933.976.394;6.557.913.577;6.745.944.985;0.02787324958;2.502.659.452;950;200;0
5.918.501.186;393.491.789;6.925.705.596;6.557.914.097;6.741.809.846;0.02727691134;2.749.185.012;950;225;0
5.850.620.745;4.331.984.406;6.653.323.251;6.557.246.226;6.605.284.739;0.007272739044;2.998.506.207;950;250;0
5.334.318.785;4.829.114.772;675.314.436;6.556.988.234;6.655.066.297;0.0147373533;3.243.343.188;950;275;1
4.864.286.026;5.149.654.008;6.809.219.552;6.557.941.271;6.683.580.411;0.01879817894;348.864.286;950;300;0
4.526.918.057;5.384.944.181;6.881.741.701;6.556.748.344;6.719.245.022;0.02418377037;3.735.269.181;950;325;1
42.022.115;5.655.365.114;6.871.295.393;655.774.307;6.714.519.232;0.02334882906;3.982.022.115;950;350;0
3.952.339.499;6.032.966.775;6.659.133.699;6.557.039.693;6.608.086.696;0.007724929418;4.229.523.395;950;375;0
3.401.463.184;6.406.482.008;6.816.306.228;6.557.713.826;6.687.010.027;0.01933542801;4.474.014.632;950;400;0
303.803.258;6.660.519.281;6.870.486.966;6.557.798.355;671.414.266;0.02328581821;4.720.380.326;950;425;0
2.756.416.874;6.858.124.525;6.996.830.402;6.556.804.594;6.776.817.498;0.03246552002;4.967.564.169;950;450;1
2.510.122.573;7.284.720.132;6.669.286.177;6.557.950.543;661.361.836;0.008417149881;5.215.101.226;950;475;0
1.985.978.641;7.794.961.936;6.795.268.651;6.557.878.977;6.676.573.814;0.01777780644;5.459.859.786;950;500;0
165.026.787;8.043.467.552;6.899.177.314;6.556.808.591;6.727.992.953;0.02544360006;5.706.502.679;950;525;1
1.303.425.336;8.295.257.883;6.908.201.513;6.557.981.155;6.733.091.334;0.0260073969;5.953.034.253;950;550;0
8.452.000.072;1.585.643.976;6.827.365.977;6.555.991.529;6.691.678.753;0.02027700809;1.024.520.001;1000;50;1
8.025.267.385;1.900.208.886;6.849.719.854;6557482;6.703.600.927;0.02179708024;1.270.252.674;1000;75;0
7.636.457.527;2.190.106.091;6.876.477.709;6.556.917.839;6.716.697.774;0.0237884657;1.516.364.575;1000;100;1
732.184.055;2.548.002.497;6.679.014.405;6.556.217.176;6.617.615.791;0.009278056747;1.763.218.405;1000;125;1
6.977.752.102;3.174.394.554;6.718.367.516;6.557.301.475;6.637.834.496;0.01213242369;2.009.777.521;1000;150;0
6.465.689.079;3.532.977.783;6.933.453.917;6.556.782.468;6.745.118.193;0.02792178265;2.254.656.891;1000;175;1
6.019.063.446;3.847.340.468;7.022.407.611;6.557.951.222;6.790.179.417;0.0342005977;2.500.190.634;1000;200;0
5.774.202.055;4.137.725.809;6.767.383.664;6.556.834.771;6.662.109.218;0.01580196943;2.747.742.021;1000;225;1
5.481.125.146;4.694.631.173;6.675.535.851;655.691.589;6.616.225.871;0.008964322236;2.994.811.251;1000;250;1
4.914.283.902;5.073.806.198;6.813.994.841;6.557.821.302;6.685.908.071;0.01915772219;3.239.142.839;1000;275;0
451.058.534;5.349.970.255;6.896.065.427;6.557.723.086;6.726.894.257;0.02514848068;3.485.105.853;1000;300;0
4.220.393.571;5.582.749.132;6.972.689.954;6.556.836.219;6.764.763.086;0.03073675531;3.732.203.936;1000;325;1
3.869.197.352;5.967.894.935;676.148.962;6.557.984.244;6.659.736.932;0.01527878485;3.978.691.974;1000;350;0
3.381.859.744;638.421.984;682.283.934;655.664.859;6.689.743.965;0.01989543631;4.223.818.597;1000;375;1
2.946.779.233;6.682.502.494;692.473.201;655.795.128;6.741.341.645;0.0272038378;4.469.467.792;1000;400;0
2.361.842.852;7.337.788.815;67.185.953;6.557.805.421;6.638.200.361;0.01211095406;4.963.618.429;1000;450;0
1.836.014.402;7.896.442.123;6.824.477.057;6.557.954.593;6.691.215.825;0.01991584719;5.208.360.144;1000;475;0
1.482.191.172;8.163.631.395;692.458.338;6.556.988.488;6.740.785.934;0.02726647126;5.454.821.912;1000;500;1
1.124.888.194;8.427.998.109;6.974.575.485;655.699.377;6.765.784.627;0.03085981435;5.701.248.882;1000;525;1
0.7143221137;8.763.243.281;6.811.489.019;6.557.975.146;6.684.732.082;0.01896215661;5.947.143.221;1000;550;0
8.332.266.112;1.672.023.492;6.909.241.213;6.556.050.983;6.732.646.098;0.02622967446;1.023.322.661;1050;50;1
789.669.535;1.994.929.282;6.874.714.376;6.557.587.406;6.716.150.891;0.02360927973;1.268.966.954;1050;75;0
7.498.150.683;2.299.353.027;6.906.776.333;6.556.773.166;6.731.774.749;0.02599635167;1.514.981.507;1050;100;1
7.249.089.708;2.744.312.384;6.611.769.881;6.552.967.371;6.582.368.626;0.004466667906;1.762.490.897;1050;125;1
6.697.162.502;3.358.749.573;6.825.902.022;6.557.950.228;6.691.926.125;0.02002052835;2.006.971.625;1050;150;0
622.179.856;3.691.768.663;7.072.629.708;6.556.852.032;681.474.087;0.03784279449;2.252.217.986;1050;175;1
5.792.184.881;3.996.379.977;7.062.280.637;6.557.946.277;6.810.113.457;0.03702833755;2.497.921.849;1050;200;0
5.656.149.845;4.415.450.072;6.705.854.808;6.556.486.336;6.631.170.572;0.01126260217;2.746.561.498;1050;225;1
5.093.173.935;4.915.077.562;6.793.861.925;6.556.492.788;6.675.177.357;0.01777998725;2.990.931.739;1050;250;1
4.575.375.781;52.548.136;6.920.888.434;6.557.893.606;673.939.102;0.02693083299;3.235.753.758;1050;275;0
4.192.486.431;5.522.490.385;6.964.045.137;6.557.941.504;6.760.993.321;0.03003283793;3.481.924.864;1050;300;0
3.870.617.286;584.252.259;6.934.799.243;6.556.896.294;6.745.847.768;0.02801004128;3.728.706.173;1050;325;1
3.473.144.996;6.290.612.331;6.780.551.897;6.556.962.318;6.668.757.107;0.01676396186;397.473.145;1050;350;1
2.921.302.696;6.662.229.869;6.946.276.031;6.557.803.705;6.752.039.868;0.02876703434;4.219.213.027;1050;375;0
2.537.208.315;6.933.890.843;7.016.070.561;6.556.980.049;6.786.525.305;0.03382367934;4.465.372.083;1050;400;1
2.230.461.257;7.278.870.121;693.015.369;6.557.975.806;6.744.064.748;0.02759299458;4.712.304.613;1050;425;0
1.772.365.618;7.937.444.495;6.815.119.413;6.557.841.821;6.686.480.617;0.01923864039;4.957.723.656;1050;450;0
1.345.789.209;8.257.809.901;6.913.349.144;6.556.887.958;6.735.118.551;0.0264628739;5.203.457.892;1050;475;1
1.019.561.276;8.502.178.928;7.060.869.282;6.556.980.231;6.808.924.756;0.03700210157;5.450.195.613;1050;500;1
0.5426265611;8.883.455.321;6.878.119.065;6.557.977.158;6.718.048.111;0.02382700309;5.695.426.266;1050;525;0
0.2748802849;9.527.020.269;6.740.210.698;6.557.704.751;6.648.957.725;0.01372440267;5.942.748.803;1050;550;0
8.225.806.228;1.749.697.042;6.955.801.524;6.557.631.726;6.756.716.625;0.02946474007;1.022.258.062;1100;50;0
7.774.969.999;2.084.358.902;6.887.876.021;6.557.735.583;6.722.805.802;0.02455376874;12.677.497;1100;75;0
7.358.617.608;2.433.488.396;6.850.612.976;65.566.753;6.703.644.138;0.02192372314;1.513.586.176;1100;100;1
709.838.984;3.043.087.544;6.709.615.549;6.556.268.816;6.632.942.182;0.01155948054;1.760.983.898;1100;125;1
6.471.092.854;3.503.285.084;6.934.134.252;6.557.919.588;674.602.692;0.02788416561;2.004.710.929;1100;150;0
5.987.744.613;3.840.875.629;713.202.705;6.556.631.066;6.844.329.058;0.04203450614;2.249.877.446;1100;175;1
5.590.756.708;414.158.846;7.022.230.216;655.782.065;6.790.025.433;0.03419792533;2.495.907.567;1100;200;0
5.340.122.683;470.584.149;6.735.907.798;6.557.272.303;664.659.005;0.01343813092;2.743.401.227;1100;225;0
4.762.607.829;5.084.323.007;6.945.493.692;6.556.802.328;675.114.801;0.02878705691;2.987.626.078;1100;250;1
4.263.605.409;5.414.285.951;7.008.367.983;6.557.955.652;6.783.161.817;0.03320076557;3.232.636.054;1100;275;0
3.908.630.953;5.688.535.641;7.004.276.258;6.556.881.135;6.780.578.697;0.03299092475;347.908.631;1100;300;1
3.563.241.916;6.124.836.434;682.079.057;6.557.849.279;6.689.319.925;0.01965381345;3.725.632.419;1100;325;0
301.681.908;6.560.984.513;6.939.905.344;6.556.968.412;6.748.436.878;0.02837226898;3.970.168.191;1100;350;1
2.515.728.328;6.905.707.551;706.773.741;6.557.961.218;6.812.849.314;0.03741284803;4.215.157.283;1100;375;0
217.894.796;7.151.097.682;716.472.922;6.556.947.359;686.083.829;0.04429355679;446.178.948;1100;400;1
1.874.521.637;7.859.185.503;6.775.017.942;6.556.903.934;6.665.960.938;0.01636028247;4.708.745.216;1100;425;1
1.277.234.025;8.299.220.871;6.945.323.176;6.557.880.626;6.751.601.901;0.02869263882;495.277.234;1100;450;0
0.9383124138;8.560.791.481;7.110.610.782;6.556.939.084;6.833.774.933;0.04050994535;5.199.383.124;1100;475;1
0.4279706586;8.934.662.369;7.039.571.724;6.557.984.051;6.798.777.887;0.03541722362;5.444.279.707;1100;500;0
0.07756279682;9.618.361.283;6.792.703.962;655.798.952;6.675.346.741;0.01758069291;5.690.775.628;1100;525;0
0.0008731247639;9.657.595.195;7.292.731.881;6.606.866.488;6.949.799.184;0.0493442598;5.940.008.731;1100;550;0
8.121.716.467;1.825.894.702;7.041.677.478;6.557.474.341;679.957.591;0.03560539237;1.021.217.165;1150;50;0
765.252.164;2.173.918.393;6.930.308.161;6.557.412.456;6.743.860.309;0.02764705139;1.266.525.216;1150;75;0
7.225.604.307;256.274.591;6.844.358.651;6.557.367.071;6.700.862.861;0.02141452419;1.512.256.043;1150;100;0
6.824.653.783;3.252.626.516;6.855.629.866;6.557.999.579;6.706.814.723;0.02218864688;1.758.246.538;1150;125;0
