Tankmasse,Tage,Apo,Per,SMA,ECC,TotalMass,orbitheight,targetmass,,,,,,,,,,,,,,,,,,,,,,,,
8.748522096,140.113897,6607.438052,6556.220642,6581.829347,0.003890818796,402.7485221,500,350,1,,,,,,,,,,,,,,,,,,,,,,,
8.598520263,150.4880815,6593.606198,6557.857327,6575.731762,0.002718242831,427.5985203,500,375,0,,,,,,,,,,,,,,,,,,,,,,,
8.46767502,160.1474657,6596.325351,6555.352534,6575.838943,0.003115406051,452.467675,500,400,1,,,,,,,,,,,,,,,,,,,,,,,
8.356772933,169.479493,6599.250003,6555.370957,6577.31048,0.003335637432,477.3567729,500,425,1,,,,,,,,,,,,,,,,,,,,,,,
8.255145383,178.4944904,6588.636006,6557.577837,6573.106922,0.002362518147,502.2551454,500,450,0,,,,,,,,,,,,,,,,,,,,,,,
8.120661669,188.2262398,6590.278138,6556.804166,6573.541152,0.002546114078,527.1206617,500,475,1,,,,,,,,,,,,,,,,,,,,,,,
7.996132955,197.6338122,6573.704553,6557.227802,6565.466178,0.001254804375,551.996133,500,500,0,,,,,,,,,,,,,,,,,,,,,,,
7.896181741,207.0708677,6581.487968,6555.000456,6568.244212,0.002016331239,576.8961817,500,525,1,,,,,,,,,,,,,,,,,,,,,,,
7.816559324,217.133319,6589.691106,6556.374065,6573.032586,0.002534373666,601.8165593,500,550,1,,,,,,,,,,,,,,,,,,,,,,,
9.41582562,43.00488702,6611.839576,6552.23351,6582.036543,0.00452793489,103.4158256,550,50,1,,,,,,,,,,,,,,,,,,,,,,,
9.283382449,52.90094814,6603.483207,6550.146395,6576.814801,0.004054912103,128.2833824,550,75,1,,,,,,,,,,,,,,,,,,,,,,,
9.161413346,62.35051758,6590.527286,6555.911988,6573.219637,0.002633055034,153.1614133,550,100,1,,,,,,,,,,,,,,,,,,,,,,,
9.0574454,71.96559063,6605.90318,6556.755886,6581.329533,0.003733842355,178.0574454,550,125,1,,,,,,,,,,,,,,,,,,,,,,,
8.983298454,83.21722433,6577.648219,6557.867057,6567.757638,0.001505929728,202.9832985,550,150,0,,,,,,,,,,,,,,,,,,,,,,,
8.951647047,97.10459105,6566.490071,6554.554887,6560.522479,0.0009096214634,227.951647,550,175,1,,,,,,,,,,,,,,,,,,,,,,,
8.958839232,112.8786441,6568.244177,6553.742539,6560.993358,0.001105140367,252.9588392,550,200,1,,,,,,,,,,,,,,,,,,,,,,,
8.871490376,130.9689701,6597.087385,6555.577311,6576.332348,0.003156020075,277.8714904,550,225,1,,,,,,,,,,,,,,,,,,,,,,,
8.652241245,146.2565936,6612.551747,6555.093661,6583.822704,0.004363580835,302.6522412,550,250,1,,,,,,,,,,,,,,,,,,,,,,,
8.456975414,160.6093341,6607.673558,6555.9839,6581.828729,0.003926694251,327.4569754,550,275,1,,,,,,,,,,,,,,,,,,,,,,,
8.302867414,173.1910482,6608.10322,6556.469908,6582.286564,0.003922141028,352.3028674,550,300,1,,,,,,,,,,,,,,,,,,,,,,,
8.146178638,185.515777,6599.456782,6555.623163,6577.539973,0.003332067898,377.1461786,550,325,1,,,,,,,,,,,,,,,,,,,,,,,
7.969151084,198.5331047,6578.461845,6555.535043,6566.998444,0.001745607402,401.9691511,550,350,1,,,,,,,,,,,,,,,,,,,,,,,
7.841936469,211.1838265,6589.614248,6555.674031,6572.64414,0.00258193023,426.8419365,550,375,1,,,,,,,,,,,,,,,,,,,,,,,
7.758966294,223.6331821,6589.211908,6555.946638,6572.579273,0.002530610034,451.7589663,550,400,1,,,,,,,,,,,,,,,,,,,,,,,
7.749785144,236.0020408,6588.50847,6556.339037,6572.423753,0.002447303634,476.7497851,550,425,1,,,,,,,,,,,,,,,,,,,,,,,
7.753211152,252.680117,6588.377531,6556.994821,6572.686176,0.002387357964,501.7532112,550,450,1,,,,,,,,,,,,,,,,,,,,,,,
7.63805384,269.2940698,6583.82688,6557.96243,6570.894655,0.00196810718,526.6380538,550,475,0,,,,,,,,,,,,,,,,,,,,,,,
7.457704758,287.3194007,6591.881668,6556.70778,6574.294724,0.002675107376,551.4577048,550,500,1,,,,,,,,,,,,,,,,,,,,,,,
7.240786279,305.2860671,6605.893627,6555.338128,6580.615878,0.003841243754,576.2407863,550,525,1,,,,,,,,,,,,,,,,,,,,,,,
6.99651957,322.0359424,6604.559191,6557.579536,6581.069363,0.003569302477,600.9965196,550,550,0,,,,,,,,,,,,,,,,,,,,,,,
9.291024541,52.07771547,6617.871355,6551.995736,6584.933546,0.005001995713,103.2910245,600,50,1,,,,,,,,,,,,,,,,,,,,,,,
9.135772164,63.86086639,6598.858974,6556.559209,6577.709092,0.003215387356,128.1357722,600,75,1,,,,,,,,,,,,,,,,,,,,,,,
9.016353276,76.00129169,6597.291956,6550.103527,6573.697741,0.00358918456,153.0163533,600,100,1,,,,,,,,,,,,,,,,,,,,,,,
8.932222593,92.31665076,6579.139204,6556.703876,6567.92154,0.00170794735,177.9322226,600,125,1,,,,,,,,,,,,,,,,,,,,,,,
8.933451022,113.3495163,6565.964356,6552.867923,6559.416139,0.0009982925478,202.933451,600,150,1,,,,,,,,,,,,,,,,,,,,,,,
8.760943428,138.369277,6616.504811,6553.668739,6585.086775,0.004771089133,227.7609434,600,175,1,,,,,,,,,,,,,,,,,,,,,,,
8.484679102,158.1153907,6611.424876,6554.625369,6583.025122,0.004314088539,252.4846791,600,200,1,,,,,,,,,,,,,,,,,,,,,,,
8.285329797,173.6348825,6621.446751,6557.223501,6589.335126,0.004873272378,277.2853298,600,225,0,,,,,,,,,,,,,,,,,,,,,,,
8.085684739,189.2382986,6612.203672,6555.155038,6583.679355,0.00433257989,302.0856847,600,250,1,,,,,,,,,,,,,,,,,,,,,,,
7.892519473,204.1784911,6593.843023,6556.972548,6575.407786,0.002803664552,326.8925195,600,275,1,,,,,,,,,,,,,,,,,,,,,,,
7.746401542,219.6223967,6601.948654,6556.60727,6579.277962,0.003445771989,351.7464015,600,300,1,,,,,,,,,,,,,,,,,,,,,,,
7.704508286,234.6319001,6580.747734,6557.790069,6569.268902,0.001747353132,376.7045083,600,325,0,,,,,,,,,,,,,,,,,,,,,,,
7.699998746,254.3388073,6592.599432,6556.143341,6574.371386,0.002772591416,401.6999987,600,350,1,,,,,,,,,,,,,,,,,,,,,,,
7.543848783,278.0488924,6587.118573,6555.580875,6571.349724,0.002399636191,426.5438488,600,375,1,,,,,,,,,,,,,,,,,,,,,,,
7.285165737,301.4616604,6603.249736,6557.872849,6580.561293,0.003447797606,451.2851657,600,400,0,,,,,,,,,,,,,,,,,,,,,,,
6.967535069,323.7483589,6613.781646,6557.086057,6585.433851,0.004304620712,475.9675351,600,425,0,,,,,,,,,,,,,,,,,,,,,,,
6.690901472,344.5513168,6624.759628,6557.379381,6591.069504,0.005111480518,500.6909015,600,450,0,,,,,,,,,,,,,,,,,,,,,,,
6.525360892,361.3586801,6624.237527,6556.810408,6590.523968,0.005115459687,525.5253609,600,475,1,,,,,,,,,,,,,,,,,,,,,,,
6.500589623,380.0640774,6588.412123,6557.858464,6573.135294,0.002324131285,550.5005896,600,500,0,,,,,,,,,,,,,,,,,,,,,,,
6.485824614,403.3503437,6574.672679,6556.796595,6565.734637,0.001361316383,575.4858246,600,525,1,,,,,,,,,,,,,,,,,,,,,,,
6.246839428,430.1528837,6608.635414,6555.768915,6582.202165,0.004015867129,600.2468394,600,550,1,,,,,,,,,,,,,,,,,,,,,,,
9.17996308,60.18128706,6621.131917,6554.996223,6588.06407,0.005019357231,103.1799631,650,50,1,,,,,,,,,,,,,,,,,,,,,,,
9.015732935,74.49529322,6616.213142,6552.37633,6584.294736,0.004847657531,128.0157329,650,75,1,,,,,,,,,,,,,,,,,,,,,,,
8.913697843,94.47711758,6581.725414,6555.222988,6568.474201,0.002017395924,152.9136978,650,100,1,,,,,,,,,,,,,,,,,,,,,,,
8.553907372,152.7224278,6634.276861,6556.061424,6595.169143,0.005929752199,202.5539074,650,150,1,,,,,,,,,,,,,,,,,,,,,,,
8.294521294,172.1730897,6629.535988,6554.110675,6591.823331,0.005721126725,227.2945213,650,175,1,,,,,,,,,,,,,,,,,,,,,,,
8.067225616,189.8938798,6616.863146,6554.508762,6585.685954,0.004734084243,252.0672256,650,200,1,,,,,,,,,,,,,,,,,,,,,,,
