Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass
5.461.179.304;5.048.457.684;7.012.773.853;6.551.347.217;6.782.060.535;0.03401817436;1.994.611.793;1400;150
4.830.829.771;5.602.848.421;7.195.605.153;6.550.987.089;6.873.296.121;0.04689293559;2.238.308.298;1400;175
4.339.977.863;6.181.507.153;6.831.739.477;6.551.163.323;66.914.514;0.0209652688;2.483.399.779;1400;200
3.720.008.461;7.047.706.409;708.713.901;6.550.960.635;6.819.049.822;0.03931474247;2.727.200.085;1400;225
3.091.429.753;7.584.226.872;7.338.049.107;6.551.413.192;6.944.731.149;0.05663544768;2.970.914.298;1400;250
276.478.221;8.329.685.474;672.774.678;6.551.131.377;6.639.439.078;0.0133004762;3.217.647.822;1400;275
1.974.706.314;8.944.093.787;7.081.637.959;6.551.276.385;6.816.457.172;0.03890302247;3.459.747.063;1400;300
1.470.968.851;9.354.113.078;7.217.576.295;6.550.888.436;6.884.232.365;0.04842136522;3.704.709.689;1400;325
0.9814454906;1.003.422.715;679.129.253;6.551.246.796;6.671.269.663;0.01799100818;3.949.814.455;1400;350
0.2501401066;1.063.119.067;7.249.752.708;6.551.368.803;6.900.560.756;0.05060341684;4.192.501.401;1400;375
0.0002270228738;1.087.301.069;7.635.539.522;6.587.255.319;711.139.742;0.07370451557;444.000.227;1400;400
0.0009970598426;1.093.585.771;7.766.250.022;6.645.092.676;7.205.671.349;0.07779686943;4.690.009.971;1400;425
0.000593708148;1.100.801.927;7.792.835.037;6.695.606.708;7.244.220.873;0.07573128622;4.940.005.937;1400;450
0.0008456717014;1.106.191.943;7.800.389.691;6.741.738.912;7.271.064.301;0.07279888716;5.190.008.457;1400;475
0.0005982820442;1.109.730.444;7.801.877.464;6.784.365.784;7.293.121.624;0.06975831012;5.440.005.983;1400;500
0.0008561341316;1.112.503.734;7.801.889.761;6.823.430.406;7.312.660.083;0.06690173914;5.690.008.561;1400;525
0.0004225623745;1.114.337.923;7.798.728.324;685.965.044;7.329.189.382;0.06406423928;5.940.004.226;1400;550
