Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass
473.813.706;6.288.847.467;6.728.265.828;6.557.948.655;6.643.107.241;0.01281908952;3.237.381.371;1050;275
4.188.589.814;6.749.446.431;6.897.591.886;6.557.769.109;6.727.680.498;0.02525556745;3.481.885.898;1050;300
3.853.357.443;7.045.402.824;7.047.938.919;6.557.944.721;680.294.182;0.03601340506;3.728.533.574;1050;325
3.583.738.339;774.557.439;6.715.983.077;6.557.704.306;6.636.843.691;0.0119242503;3.975.837.383;1050;350
3.033.083.766;8.243.045.534;6.830.965.212;6.557.734.026;6.694.349.619;0.02040759752;4.220.330.838;1050;375
2.638.116.048;8.606.522.909;6.939.853.477;6.557.879.228;6.748.866.353;0.02829914161;446.638.116;1050;400
2.345.917.631;9.057.823.725;6.708.612.084;6.557.479.979;6.633.046.032;0.01139236063;4.713.459.176;1050;425
190.372.333;9.732.550.423;6.915.065.814;6.557.998.708;6.736.532.261;0.02650229316;4.959.037.233;1050;450
1.367.875.235;1.018.833.408;6.871.354.944;6.557.937.974;6.714.646.459;0.02333830763;5.203.678.752;1050;475
0.963044572;1.065.770.314;6.797.858.696;6.557.964.207;6.677.911.451;0.01796179014;5.449.630.446;1050;500
0.6142392065;1.107.433.421;6.968.516.291;6.557.969.725;6.763.243.008;0.03035130973;5.696.142.392;1050;525
0.107984809;1.148.458.116;7.001.636.995;655.787.356;6.779.755.278;0.03272709831;5.941.079.848;1050;550
8.217.170.782;2.074.782.291;6.742.735.586;6.550.666.353;664.670.097;0.01444846351;1.022.171.708;1100;50
7.814.571.891;2.512.030.291;6.706.538.346;6.550.650.325;6.628.594.335;0.01175875405;1.268.145.719;1100;75
7.411.035.718;3.286.543.403;6.726.302.248;6.550.407.305;6.638.354.777;0.0132483838;1.514.110.357;1100;100
6.882.807.101;373.850.505;6.999.652.026;6.550.949.484;6.775.300.755;0.03311310876;1.758.828.071;1100;125
6.456.033.866;4.122.329.445;6.879.005.328;6.551.101.957;6.715.053.643;0.02441554368;2.004.560.339;1100;150
6.198.419.833;4.742.137.011;6.668.493.489;6.550.950.829;6.609.722.159;0.008891649127;2.251.984.198;1100;175
5.597.386.332;5.229.508.035;6.782.719.811;6.551.358.236;6.667.039.023;0.017351149;2.495.973.863;1100;200
5.170.199.548;5.588.786.482;6.835.761.703;6.551.214.287;6.693.487.995;0.02125554092;2.741.701.995;1100;225
4.859.736.766;6.039.296.712;6.744.546.915;655.084.225;6.647.694.583;0.01456931141;2.988.597.368;1100;250
43.224.718;6.599.234.073;6.791.951.929;6.550.696.875;6.671.324.402;0.01808149619;3.233.224.718;1100;275
3.845.695.688;7.009.302.942;6.903.518.967;6.551.499.478;6.727.509.223;0.02616269088;3.478.456.957;1100;300
3.592.798.808;7.484.431.296;6.702.573.421;6.551.334.563;6.626.953.992;0.01141088782;3.725.927.988;1100;325
3.048.141.697;8.219.761.318;6.770.380.743;6.551.152.824;6.660.766.784;0.01645665776;3.970.481.417;1100;350
2.651.522.194;8.592.521.817;6.979.404.813;6.550.903.955;6.765.154.384;0.03166970285;4.216.515.222;1100;375
2.231.518.192;9.063.262.751;6.698.048.472;6.551.296.232;6.624.672.352;0.01107618858;4.462.315.182;1100;400
1.790.746.414;9.787.070.749;6.793.413.805;6.550.773.748;6.672.093.777;0.01818320192;4.707.907.464;1100;425
1.297.699.436;1.019.665.352;69.229.301;6.551.419.377;6.737.174.738;0.02757170011;4.952.976.994;1100;450
0.9283363799;1.065.363.292;6.778.700.551;6.550.877.392;6.664.788.971;0.01709155084;5.199.283.364;1100;475
0.4151628486;1.118.479.676;6.862.053.965;6.550.748.075;670.640.102;0.02320960891;5.444.151.628;1100;500
0.000483077469;115.228.758;7.068.427.889;6.556.963.777;6.812.695.833;0.03753757136;5.690.004.831;1100;525
0.0008032973113;115.311.476;7.357.842.325;6.597.197.262;6.977.519.793;0.05450683663;5.940.008.033;1100;550
8.116.364.408;2.166.220.423;6.758.348.515;6.550.211.868;6.654.280.192;0.01563930594;1.021.163.644;1150;50
7.725.467.234;2.648.379.042;6.662.345.721;6.550.333.629;6.606.339.675;0.008477621297;1.267.254.672;1150;75
7.221.978.453;3.430.776.569;6.812.451.497;6.551.322.582;668.188.704;0.01954005765;1.512.219.785;1150;100
6.708.124.804;3.870.996.261;7.060.479.316;655.060.758;6.805.543.448;0.03746003093;1.757.081.248;1150;125
6.341.190.857;4.273.173.875;6.722.121.326;655.073.151;6.636.426.418;0.01291280924;2.003.411.909;1150;150
5.920.613.446;4.910.477.006;6.713.690.444;6.551.143.132;6.632.416.788;0.01225400314;2.249.206.134;1150;175
534.428.861;5.360.119.092;6.854.210.195;6.551.432.586;6.702.821.391;0.02258583304;2.493.442.886;1150;200
4.930.342.941;572.262.053;685.377.005;6.551.428.451;670.259.925;0.02255405607;2.739.303.429;1150;225
4.624.501.569;6.293.694.122;6.668.531.312;6.550.478.134;6.609.504.723;0.008930561566;2.986.245.016;1150;250
3.960.275.989;6.863.274.103;6.907.005.418;6.551.275.348;6.729.140.383;0.02643205892;322.960.276;1150;275
3.555.227.465;7.232.109.752;705.716.885;6.550.858.996;6.804.013.923;0.03720670326;3.475.552.275;1150;300
3.247.322.286;8.038.583.149;6.728.324.841;6.550.754.315;6.639.539.578;0.01337220178;3.722.473.223;1150;325
2.681.587.998;8.569.865.817;6.897.719.107;6.550.994.604;6.724.356.856;0.02578123901;396.681.588;1150;350
2.213.231.425;900.132.446;6.956.517.364;6.551.269.897;6.753.893.631;0.03000102522;4.212.132.314;1150;375
1.810.030.313;9.726.469.909;6.738.194.168;6.551.111.323;6.644.652.745;0.0140776992;4.458.100.303;1150;400
1.328.836.715;1.010.308.314;7.051.904.551;6.550.836.569;680.137.056;0.03683580958;4.703.288.367;1150;425
0.8203645904;1.054.035.027;6.907.246.287;6.551.334.576;6.729.290.432;0.02644496586;4.948.203.646;1150;450
0.3538953469;1.116.322.016;6.829.221.373;6.551.394.737;6.690.308.055;0.02076336648;5.193.538.953;1150;475
0.0005687583484;1.144.981.502;7.195.847.095;6.568.751.367;6.882.299.231;0.04555859218;5.440.005.688;1150;500
0.0007151399814;1.146.645.986;744.855.646;6.612.523.041;7.030.539.751;0.0594572713;5.690.007.151;1150;525
0.0005130292334;1.149.631.839;7.513.036.292;6.648.874.906;7.080.955.599;0.06102011049;594.000.513;1150;550
8.023.465.396;2.249.716.822;6.819.968.219;6.550.803.235;6.685.385.727;0.02013084927;1.020.234.654;1200;50
7.660.777.767;2.811.547.078;6.599.461.135;6.543.056.833;6.571.258.984;0.004291742433;1.266.607.778;1200;75
706.322.933;3.546.156.529;6.885.836.498;65.512.624;6.718.549.449;0.02489928075;1.510.632.293;1200;100
6.539.981.618;3.977.797.182;7.105.257.161;6.550.930.428;6.828.093.794;0.04059161674;1.755.399.816;1200;125
6.204.225.879;4.389.111.942;6.678.358.541;6.550.851.136;6.614.604.838;0.00963832366;2.002.042.259;1200;150
5.675.684.328;5.016.003.487;677.652.766;655.102.598;666.377.682;0.01691996047;2.246.756.843;1200;175
5.108.105.104;548.049.619;6.913.377.266;6.551.091.653;6.732.234.459;0.02690678817;2.491.081.051;1200;200
4.738.942.904;5.888.889.912;6.831.369.159;6.550.623.654;6.690.996.406;0.02097934951;2.737.389.429;1200;225
4.268.852.001;6.608.170.454;6.776.741.781;6.550.474.445;6.663.608.113;0.0169778393;298.268.852;1200;250
3.657.160.806;7.135.703.135;703.806.569;6.551.474.485;6.794.770.087;0.03580630383;3.226.571.608;1200;275
3.402.008.118;7.673.402.882;6.722.610.498;6.551.290.231;6.636.950.364;0.01290655026;3.474.020.081;1200;300
277.630.203;8.478.925.478;6.834.324.092;6.551.427.637;6.692.875.864;0.02113414772;371.776.302;1200;325
235.055.796;8.863.808.633;7.094.275.489;6.550.886.966;6.822.581.228;0.03982279616;396.350.558;1200;350
1.922.274.707;9.409.654.869;6.694.027.517;6.551.462.468;6.622.744.993;0.01076329;4.209.222.747;1200;375
1.299.918.928;1.003.541.788;6.932.758.235;6.551.299.047;6.742.028.641;0.02828964457;4.452.999.189;1200;400
0.9027832567;103.548.261;7.158.478.406;6.550.978.046;6.854.728.226;0.04431250518;4.699.027.833;1200;425
0.4995460699;1.093.500.775;6.749.938.147;6.550.946.571;6.650.442.359;0.01496077738;4.944.995.461;1200;450
0.000485932171;1.142.386.466;7.234.669.003;6.574.939.812;6.904.804.408;0.04777319907;5.190.004.859;1200;475
0.0006263458087;1.145.475.325;7.480.935.826;6.621.787.453;705.136.164;0.06092074251;5.440.006.263;1200;500
0.0004351070561;1.149.679.188;7.543.587.406;6.660.308.169;7.101.947.788;0.06218570338;5.690.004.351;1200;525
0.0006962114985;1.154.015.471;7.565.662.185;6.694.964.529;7.130.313.357;0.06105605828;5.940.006.962;1200;550
7.934.658.987;2.329.509.507;6.884.983.569;6.550.146.532;671.756.505;0.02492250054;101.934.659;1250;50
7.600.373.279;3.015.126.778;659.332.971;6.544.787.932;6.569.058.821;0.003694728533;1.266.003.733;1250;75
6.916.945.443;3.624.078.651;6.968.513.001;6.551.045.698;675.977.935;0.03087876699;1.509.169.454;1250;100
6.384.926.323;4.059.375.323;7.129.000.579;6.550.958.499;6.839.979.539;0.04225466441;1.753.849.263;1250;125
6.074.756.771;4.531.458.953;6.683.899.731;6.549.961.025;6.616.930.378;0.01012090936;2.000.747.568;1250;150
544.274.118;5.152.467.112;6.823.852.622;6.550.986.974;6.687.419.798;0.0204014146;2.244.427.412;1250;175
4.881.184.751;5.627.607.973;6.997.820.608;6.551.435.022;6.774.627.815;0.03294539554;2.488.811.848;1250;200
4.598.173.018;6.135.301.146;6.779.521.899;6.550.936.413;6.665.229.156;0.0171476089;273.598.173;1250;225
3.902.755.649;6.918.710.332;6.958.206.325;6.550.974.121;6.754.590.223;0.03014484891;2.979.027.556;1250;250
3.385.611.943;7.370.932.686;7.120.507.087;6.551.429.595;6.835.968.341;0.04162376589;3.223.856.119;1250;275
3.128.309.575;8.162.672.453;6.701.033.267;655.026.166;6.625.647.463;0.01137787721;3.471.283.096;1250;300
2.427.842.641;8.763.279.033;6.940.379.403;6.551.477.317;674.592.836;0.02882494934;3.714.278.426;1250;325
1.963.677.765;9.161.480.111;7.128.293.002;6.550.897.437;683.959.522;0.04220977602;3.959.636.778;1250;350
1.469.537.203;9.831.733.221;6.832.402.266;6.550.905.637;6.691.653.951;0.02103341201;4.204.695.372;1250;375
